company_name,url,city,state,country,employees,linkedin_url,founded,Industry,GrowjoRanking,Previous Ranking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
OpenAI,openai.com,San Francisco,CA,United States,655,http://www.linkedin.com/company/openai,2015,AI,1,1,88722200,25,"Artificial Intelligence, Online Gaming, Non Profit","Thrive, Founders Fund",,,29000000000,$11B,https://www.growjo.com/company/OpenAI,https://www.indeed.com/jobs?q=company%3A(OpenAI),118%,For Contact Direct Phone Numbers and Emails see Lead411
Alchemy,alchemy.com,San Francisco,CA,United States,201,http://www.linkedin.com/company/alchemyinc,,Fintech,2,2,39269750,1,,"Lightspeed, Silver Lake",,,10200000000,$564M,https://www.growjo.com/company/Alchemy,https://www.indeed.com/jobs?q=company%3A(Alchemy),134%,For Contact Direct Phone Numbers and Emails see Lead411
dbt Labs,getdbt.com,Philadelphia,PA,United States,511,http://www.linkedin.com/company/dbtlabs,2016,Analytics,3,3,76987400,1,,Altimeter,,,4200000000,$414.4M,https://www.growjo.com/company/dbt_Labs,https://www.indeed.com/jobs?q=company%3A(dbt Labs),76%,For Contact Direct Phone Numbers and Emails see Lead411
Wasabi Technologies,wasabi.com,Boston,MA,United States,355,http://www.linkedin.com/company/wasabitechnologiesinc,2017,Cloud,4,4,38480000,4,saas,L2 Point,,,1100000000,$286.2M,https://www.growjo.com/company/Wasabi_Technologies,https://www.indeed.com/jobs?q=company%3A(Wasabi Technologies),60%,For Contact Direct Phone Numbers and Emails see Lead411
Whatnot,whatnot.com,Los Angeles,CA,United States,551,http://www.linkedin.com/company/whatnot-inc,2019,eCommerce,5,5,39664000,1,,DST Global,,,3700000000,$484.7M,https://www.growjo.com/company/Whatnot,https://www.indeed.com/jobs?q=company%3A(Whatnot),97%,For Contact Direct Phone Numbers and Emails see Lead411
Crusoe Energy Systems,crusoeenergy.com,Denver,CO,United States,201,http://www.linkedin.com/company/crusoe,2018,Energy/Oil,6,6,58205875,1,"Cloud Computing, Oil and Gas, High Performance Computing, Computation, Blockchain / Cryptocurrency","Bain Capital Ventures, Founders Fund, Winklevoss Capital",,,1750000000,$747.5M,https://www.growjo.com/company/Crusoe_Energy_Systems,https://www.indeed.com/jobs?q=company%3A(Crusoe Energy Systems),68%,For Contact Direct Phone Numbers and Emails see Lead411
Aurora Solar,aurorasolar.com,San Francisco,CA,United States,561,http://www.linkedin.com/company/aurora-solar,2013,Salestech,7,7,92989400,3,saas saas,,,,4000000000,$523.5M,https://www.growjo.com/company/Aurora_Solar,https://www.indeed.com/jobs?q=company%3A(Aurora Solar),47%,For Contact Direct Phone Numbers and Emails see Lead411
Kindbody,kindbody.com,New York,NY,United States,621,http://www.linkedin.com/company/kindbody,2018,Digital Health,8,8,105791000,38,"Healthcare, Medical, Women-Focused, Corporate Wellness, Health and Wellness, Healthcare Services, Fertility",,,,1800000000,$125.3M,https://www.growjo.com/company/Kindbody,https://www.indeed.com/jobs?q=company%3A(Kindbody),44%,For Contact Direct Phone Numbers and Emails see Lead411
Yuga Labs,yugalabs.io,Everywhere,,United States,177,http://www.linkedin.com/company/yuga-labs,,Fintech,9,9,23023000,1,,"Andreessen Horowitz, Thrive Capital, Sound Ventures",,,4000000000,$450M,https://www.growjo.com/company/Yuga_Labs,https://www.indeed.com/jobs?q=company%3A(Yuga Labs),101%,For Contact Direct Phone Numbers and Emails see Lead411
Locus Robotics,locusrobotics.com,Wilmington,MA,United States,481,http://www.linkedin.com/company/locus-robotics,2014,Industrial,10,10,194566540,10,"Internet of Things,Robotics,Transportation","Goldman Sachs, G2 Venture Partners, Stack",,B2B,2000000000,$299M,https://www.growjo.com/company/Locus_Robotics,https://www.indeed.com/jobs?q=company%3A(Locus Robotics),41%,For Contact Direct Phone Numbers and Emails see Lead411
Anthropic,anthropic.com,San Francisco,CA,USA,131,http://www.linkedin.com/company/anthropicresearch,,AI,11,11,15400000,1,,,,,4400000000,$1.3B,https://www.growjo.com/company/Anthropic,https://www.indeed.com/jobs?q=company%3A(Anthropic),138%,For Contact Direct Phone Numbers and Emails see Lead411
ICON,iconbuild.com,Austin,TX,United States,431,http://www.linkedin.com/company/icon3dtech,,3D,12,12,97802700,1,,"Moderne Ventures, Oakhouse Partners, Bjarke Ingels Group",,,1570000000,$450M,https://www.growjo.com/company/ICON,https://www.indeed.com/jobs?q=company%3A(ICON),92%,For Contact Direct Phone Numbers and Emails see Lead411
Sentry,sentry.io,San Francisco,CA,United States,378,http://www.linkedin.com/company/getsentry,2011,Analytics,13,13,63119000,39,saas,"Bond, Accel",,,3000000000,$127M,https://www.growjo.com/company/Sentry,https://www.indeed.com/jobs?q=company%3A(Sentry),36%,For Contact Direct Phone Numbers and Emails see Lead411
Axonius,axonius.com,New York,NY,United States,628,http://www.linkedin.com/company/axonius,2017,IT Security,14,14,170733720,28,cybersecurity asset management,Accel,,,2600000000,$665M,https://www.growjo.com/company/Axonius,https://www.indeed.com/jobs?q=company%3A(Axonius),52%,For Contact Direct Phone Numbers and Emails see Lead411
Drata,drata.com,San Diego,CA,United States,427,http://www.linkedin.com/company/drata,2020,IT Security,15,15,116067840,1,saas,"Iconiq Growth, GGV",,,2000000000,$128.2M,https://www.growjo.com/company/Drata,https://www.indeed.com/jobs?q=company%3A(Drata),111%,For Contact Direct Phone Numbers and Emails see Lead411
Payhawk,payhawk.com,London,UK,UK,269,http://www.linkedin.com/company/payhawk-com,2018,Fintech,16,16,39409500,1,,Lightspeed Venture Partners,,,1000000000,$239.1M,https://www.growjo.com/company/Payhawk,https://www.indeed.com/jobs?q=company%3A(Payhawk),228%,For Contact Direct Phone Numbers and Emails see Lead411
Shield AI,shield.ai,San Diego,CA,United States,435,http://www.linkedin.com/company/shield-ai,2015,Defense,17,17,178760120,1,"Hardware, Security, Robotics, Machine Learning, Defense, Artificial Intelligence, Aerial Robotics ","Doug Philippone, Snowpoint Ventures",,,2300000000,$348.1M,https://www.growjo.com/company/Shield_AI,https://www.indeed.com/jobs?q=company%3A(Shield AI),48%,For Contact Direct Phone Numbers and Emails see Lead411
Astera Labs,asteralabs.com,Santa Clara,CA,United States,197,http://www.linkedin.com/company/astera-labs,2017,Semiconductors,18,18,61194375,1,,Fidelity Management & Research,,,3150000000,$56.4M,https://www.growjo.com/company/Astera_Labs,https://www.indeed.com/jobs?q=company%3A(Astera Labs),99%,For Contact Direct Phone Numbers and Emails see Lead411
